gid,bld_id,ppty_use,ppty_id,businame,busitype,busiprod,ppty_plt_n,ppty_strn,ppty_addy,busireg_st,busi_regno,busi_inc_y,staf_str,contact,tax_appli,tin_status,tin_no,lt_pd_year,lt_amt_pd,x,y
40,3019,INSTITUTIONAL,I100000038,,MEDIUM,EDUCATION,,,,REGISTERD,12337,18991230,15,,EDUCATIONAL,YES,1109405,,100000,3.186845,6.482773
41,3020,INSTITUTIONAL,I100000039,,MEDIUM,EDUCATION,,,,REGISTERD,12338,18991230,15,,EDUCATIONAL,YES,1109406,,100000,3.186444,6.482726
42,3021,INSTITUTIONAL,I100000040,,MEDIUM,EDUCATION,,,,REGISTERD,12339,18991230,15,,EDUCATIONAL,YES,1109407,,100000,3.183719,6.482449
43,3022,INSTITUTIONAL,I100000041,,MEDIUM,EDUCATION,,,,REGISTERD,12340,18991230,15,,EDUCATIONAL,YES,1109408,,100000,3.184211,6.482589
44,3023,INSTITUTIONAL,I100000042,,MEDIUM,EDUCATION,,,,REGISTERD,12341,18991230,15,,EDUCATIONAL,YES,1109409,,100000,3.184148,6.482709
45,3024,INSTITUTIONAL,I100000043,,MEDIUM,EDUCATION,,,,REGISTERD,12342,18991230,15,,EDUCATIONAL,YES,1109410,,100000,3.183994,6.482607
46,3025,INSTITUTIONAL,I100000044,,MEDIUM,EDUCATION,,,,REGISTERD,12343,18991230,15,,EDUCATIONAL,YES,1109411,,100000,3.183894,6.482465
47,3026,INSTITUTIONAL,I100000045,,MEDIUM,EDUCATION,,,,REGISTERD,12344,18991230,15,,EDUCATIONAL,YES,1109412,,100000,3.183880,6.482575
48,3027,INSTITUTIONAL,I100000046,,MEDIUM,EDUCATION,,,,REGISTERD,12345,18991230,15,,EDUCATIONAL,YES,1109413,,100000,3.183743,6.482619
49,3028,INSTITUTIONAL,I100000047,,MEDIUM,EDUCATION,,,,REGISTERD,12346,18991230,15,,EDUCATIONAL,YES,1109414,,100000,3.183987,6.482807
50,3029,INSTITUTIONAL,I100000048,,MEDIUM,EDUCATION,,,,REGISTERD,12347,18991230,15,,EDUCATIONAL,YES,1109415,,100000,3.184158,6.482844
51,3030,INSTITUTIONAL,I100000049,,MEDIUM,EDUCATION,,,,REGISTERD,12348,18991230,15,,EDUCATIONAL,YES,1109416,,100000,3.184374,6.482667
52,3031,INSTITUTIONAL,I100000050,,MEDIUM,EDUCATION,,,,REGISTERD,12349,18991230,15,,EDUCATIONAL,YES,1109417,,100000,3.185252,6.482462
53,3032,INSTITUTIONAL,I100000051,,MEDIUM,EDUCATION,,,,REGISTERD,12350,18991230,15,,EDUCATIONAL,YES,1109418,,100000,3.185303,6.482662
54,3033,INSTITUTIONAL,I100000052,,MEDIUM,EDUCATION,,,,REGISTERD,12351,18991230,15,,EDUCATIONAL,YES,1109419,,100000,3.185045,6.482593
55,3034,INSTITUTIONAL,I100000053,,MEDIUM,EDUCATION,,,,REGISTERD,12352,18991230,15,,EDUCATIONAL,YES,1109420,,100000,3.185189,6.482736
56,3035,INSTITUTIONAL,I100000054,,MEDIUM,EDUCATION,,,,REGISTERD,12353,18991230,15,,EDUCATIONAL,YES,1109421,,100000,3.184760,6.482807
57,3036,INSTITUTIONAL,I100000055,,MEDIUM,EDUCATION,,,,REGISTERD,12354,18991230,15,,EDUCATIONAL,YES,1109422,,100000,3.184857,6.482889
58,3037,INSTITUTIONAL,I100000056,,MEDIUM,EDUCATION,,,,REGISTERD,12355,18991230,15,,EDUCATIONAL,YES,1109423,,100000,3.185089,6.482742
59,3038,INSTITUTIONAL,I100000057,,MEDIUM,EDUCATION,,,,REGISTERD,12356,18991230,15,,EDUCATIONAL,YES,1109424,,100000,3.181878,6.482456
60,3039,INSTITUTIONAL,I100000058,,MEDIUM,EDUCATION,,,,REGISTERD,12357,18991230,15,,EDUCATIONAL,YES,1109425,,100000,3.182157,6.482796
61,3040,INSTITUTIONAL,I100000059,,MEDIUM,EDUCATION,,,,REGISTERD,12358,18991230,15,,EDUCATIONAL,YES,1109426,,100000,3.182039,6.482767
62,3041,INSTITUTIONAL,I100000060,,MEDIUM,EDUCATION,,,,REGISTERD,12359,18991230,15,,EDUCATIONAL,YES,1109427,,100000,3.181987,6.482656
63,3042,INSTITUTIONAL,I100000061,,MEDIUM,EDUCATION,,,,REGISTERD,12360,18991230,15,,EDUCATIONAL,YES,1109428,,100000,3.191847,6.470848
64,3043,INSTITUTIONAL,I100000062,,MEDIUM,EDUCATION,,,,REGISTERD,12361,18991230,15,,EDUCATIONAL,YES,1109429,,100000,3.191946,6.470758
65,3044,INSTITUTIONAL,I100000063,,MEDIUM,EDUCATION,,,,REGISTERD,12362,18991230,15,,EDUCATIONAL,YES,1109430,,100000,3.192086,6.470449
66,3045,INSTITUTIONAL,I100000064,,MEDIUM,EDUCATION,,,,REGISTERD,12363,18991230,15,,EDUCATIONAL,YES,1109431,,100000,3.192159,6.470795
67,3046,INSTITUTIONAL,I100000065,,MEDIUM,EDUCATION,,,,REGISTERD,12364,18991230,15,,EDUCATIONAL,YES,1109432,,100000,3.192245,6.470823
68,3047,INSTITUTIONAL,I100000066,,MEDIUM,EDUCATION,,,,REGISTERD,12365,18991230,15,,EDUCATIONAL,YES,1109433,,100000,3.192253,6.470696
69,3048,INSTITUTIONAL,I100000067,,MEDIUM,EDUCATION,,,,REGISTERD,12366,18991230,15,,EDUCATIONAL,YES,1109434,,100000,3.192288,6.470483
70,3049,INSTITUTIONAL,I100000068,,MEDIUM,EDUCATION,,,,REGISTERD,12367,18991230,15,,EDUCATIONAL,YES,1109435,,100000,3.191880,6.470445
71,3050,INSTITUTIONAL,I100000069,,MEDIUM,EDUCATION,,,,REGISTERD,12368,18991230,15,,EDUCATIONAL,YES,1109436,,100000,3.191993,6.471028
72,3051,INSTITUTIONAL,I100000070,,MEDIUM,EDUCATION,,,,REGISTERD,12369,18991230,15,,EDUCATIONAL,YES,1109437,,100000,3.191652,6.471209
73,3052,INSTITUTIONAL,I100000071,,MEDIUM,EDUCATION,,,,REGISTERD,12370,18991230,15,,EDUCATIONAL,YES,1109438,,100000,3.191771,6.471132
74,3053,INSTITUTIONAL,I100000072,,MEDIUM,EDUCATION,,,,REGISTERD,12371,18991230,15,,EDUCATIONAL,YES,1109439,,100000,3.191806,6.471124
75,3054,INSTITUTIONAL,I100000073,,MEDIUM,EDUCATION,,,,REGISTERD,12372,18991230,15,,EDUCATIONAL,YES,1109440,,100000,3.191813,6.471152
76,3055,INSTITUTIONAL,I100000074,,MEDIUM,EDUCATION,,,,REGISTERD,12373,18991230,15,,EDUCATIONAL,YES,1109441,,100000,3.191673,6.471043
77,3056,INSTITUTIONAL,I100000075,,MEDIUM,EDUCATION,,,,REGISTERD,12374,18991230,15,,EDUCATIONAL,YES,1109442,,100000,3.193034,6.470224
78,3057,INSTITUTIONAL,I100000076,,MEDIUM,EDUCATION,,,,REGISTERD,12375,18991230,15,,EDUCATIONAL,YES,1109443,,100000,3.193275,6.470555
79,3058,INSTITUTIONAL,I100000077,,MEDIUM,EDUCATION,,,,REGISTERD,12376,18991230,15,,EDUCATIONAL,YES,1109444,,100000,3.192019,6.472080
80,3059,INSTITUTIONAL,I100000078,,MEDIUM,EDUCATION,,,,REGISTERD,12377,18991230,15,,EDUCATIONAL,YES,1109445,,100000,3.192193,6.472007
81,3060,INSTITUTIONAL,I100000079,,MEDIUM,EDUCATION,,,,REGISTERD,12378,18991230,15,,EDUCATIONAL,YES,1109446,,100000,3.192763,6.470906
82,3061,INSTITUTIONAL,I100000080,,MEDIUM,EDUCATION,,,,REGISTERD,12379,18991230,15,,EDUCATIONAL,YES,1109447,,100000,3.192977,6.470737
83,3062,INSTITUTIONAL,I100000081,,MEDIUM,EDUCATION,,,,REGISTERD,12380,18991230,15,,EDUCATIONAL,YES,1109448,,100000,3.193130,6.470672
84,3063,INSTITUTIONAL,I100000082,,MEDIUM,EDUCATION,,,,REGISTERD,12381,18991230,15,,EDUCATIONAL,YES,1109449,,100000,3.191553,6.472275
85,3064,INSTITUTIONAL,I100000083,,MEDIUM,EDUCATION,,,,REGISTERD,12382,18991230,15,,EDUCATIONAL,YES,1109450,,100000,3.191440,6.472247
86,3065,INSTITUTIONAL,I100000084,,MEDIUM,EDUCATION,,,,REGISTERD,12383,18991230,15,,EDUCATIONAL,YES,1109451,,100000,3.191396,6.472117
87,3066,INSTITUTIONAL,I100000085,,MEDIUM,EDUCATION,,,,REGISTERD,12384,18991230,15,,EDUCATIONAL,YES,1109452,,100000,3.191318,6.472194
88,3067,INSTITUTIONAL,I100000086,,MEDIUM,EDUCATION,,,,REGISTERD,12385,18991230,15,,EDUCATIONAL,YES,1109453,,100000,3.191308,6.472316
89,3068,INSTITUTIONAL,I100000087,,MEDIUM,EDUCATION,,,,REGISTERD,12386,18991230,15,,EDUCATIONAL,YES,1109454,,100000,3.191383,6.472350
90,3069,INSTITUTIONAL,I100000088,,MEDIUM,EDUCATION,,,,REGISTERD,12387,18991230,15,,EDUCATIONAL,YES,1109455,,100000,3.191034,6.472167
91,3070,INSTITUTIONAL,I100000089,,MEDIUM,EDUCATION,,,,REGISTERD,12388,18991230,15,,EDUCATIONAL,YES,1109456,,100000,3.191095,6.472304
92,3071,INSTITUTIONAL,I100000090,,MEDIUM,EDUCATION,,,,REGISTERD,12389,18991230,15,,EDUCATIONAL,YES,1109457,,100000,3.190892,6.472114
93,3072,INSTITUTIONAL,I100000091,,MEDIUM,EDUCATION,,,,REGISTERD,12390,18991230,15,,EDUCATIONAL,YES,1109458,,100000,3.190769,6.472053
94,3073,INSTITUTIONAL,I100000092,,MEDIUM,EDUCATION,,,,REGISTERD,12391,18991230,15,,EDUCATIONAL,YES,1109459,,100000,3.190599,6.472179
95,3074,INSTITUTIONAL,I100000093,,MEDIUM,EDUCATION,,,,REGISTERD,12392,18991230,15,,EDUCATIONAL,YES,1109460,,100000,3.193940,6.473181
96,3075,INSTITUTIONAL,I100000094,,MEDIUM,EDUCATION,,,,REGISTERD,12393,18991230,15,,EDUCATIONAL,YES,1109461,,100000,3.193857,6.473211
97,3076,INSTITUTIONAL,I100000095,,MEDIUM,EDUCATION,,,,REGISTERD,12394,18991230,15,,EDUCATIONAL,YES,1109462,,100000,3.193787,6.473305
98,3077,INSTITUTIONAL,I100000096,,MEDIUM,EDUCATION,,,,REGISTERD,12395,18991230,15,,EDUCATIONAL,YES,1109463,,100000,3.193906,6.473406
99,3078,INSTITUTIONAL,I100000097,,MEDIUM,EDUCATION,,,,REGISTERD,12396,18991230,15,,EDUCATIONAL,YES,1109464,,100000,3.193936,6.473475
100,3079,INSTITUTIONAL,I100000098,,MEDIUM,EDUCATION,,,,REGISTERD,12397,18991230,15,,EDUCATIONAL,YES,1109465,,100000,3.193734,6.473414
101,3080,INSTITUTIONAL,I100000099,,MEDIUM,EDUCATION,,,,REGISTERD,12398,18991230,15,,EDUCATIONAL,YES,1109466,,100000,3.193381,6.473393
102,3081,INSTITUTIONAL,I100000100,,MEDIUM,EDUCATION,,,,REGISTERD,12399,18991230,15,,EDUCATIONAL,YES,1109467,,100000,3.193317,6.473504
103,3082,INSTITUTIONAL,I100000101,,MEDIUM,EDUCATION,,,,REGISTERD,12400,18991230,15,,EDUCATIONAL,YES,1109468,,100000,3.193557,6.473112
104,3083,INSTITUTIONAL,I100000102,,MEDIUM,EDUCATION,,,,REGISTERD,12401,18991230,15,,EDUCATIONAL,YES,1109469,,100000,3.192920,6.473199
105,3084,INSTITUTIONAL,I100000103,,MEDIUM,EDUCATION,,,,REGISTERD,12402,18991230,15,,EDUCATIONAL,YES,1109470,,100000,3.192942,6.473089
106,3085,INSTITUTIONAL,I100000104,,MEDIUM,EDUCATION,,,,REGISTERD,12403,18991230,15,,EDUCATIONAL,YES,1109471,,100000,3.193785,6.473062
107,3086,INSTITUTIONAL,I100000105,,MEDIUM,EDUCATION,,,,REGISTERD,12404,18991230,15,,EDUCATIONAL,YES,1109472,,100000,3.193944,6.473044
108,3087,INSTITUTIONAL,I100000106,,MEDIUM,EDUCATION,,,,REGISTERD,12405,18991230,15,,EDUCATIONAL,YES,1109473,,100000,3.194099,6.473130
109,3088,INSTITUTIONAL,I100000107,,MEDIUM,EDUCATION,,,,REGISTERD,12406,18991230,15,,EDUCATIONAL,YES,1109474,,100000,3.194111,6.473488
110,3089,INSTITUTIONAL,I100000108,,MEDIUM,EDUCATION,,,,REGISTERD,12407,18991230,15,,EDUCATIONAL,YES,1109475,,100000,3.194697,6.472683
111,3090,INSTITUTIONAL,I100000109,,MEDIUM,EDUCATION,,,,REGISTERD,12408,18991230,15,,EDUCATIONAL,YES,1109476,,100000,3.194160,6.472576
112,3091,INSTITUTIONAL,I100000110,,MEDIUM,EDUCATION,,,,REGISTERD,12409,18991230,15,,EDUCATIONAL,YES,1109477,,100000,3.194842,6.473131
113,3092,INSTITUTIONAL,I100000111,,MEDIUM,EDUCATION,,,,REGISTERD,12410,18991230,15,,EDUCATIONAL,YES,1109478,,100000,3.194658,6.473383
114,3093,INSTITUTIONAL,I100000112,,MEDIUM,EDUCATION,,,,REGISTERD,12411,18991230,15,,EDUCATIONAL,YES,1109479,,100000,3.194833,6.474175
115,3094,INSTITUTIONAL,I100000113,,MEDIUM,EDUCATION,,,,REGISTERD,12412,18991230,15,,EDUCATIONAL,YES,1109480,,100000,3.192837,6.473013
116,3095,INSTITUTIONAL,I100000114,,MEDIUM,EDUCATION,,,,REGISTERD,12413,18991230,15,,EDUCATIONAL,YES,1109481,,100000,3.192914,6.474169
117,3096,INSTITUTIONAL,I100000115,,MEDIUM,EDUCATION,,,,REGISTERD,12414,18991230,15,,EDUCATIONAL,YES,1109482,,100000,3.193645,6.473246
118,3097,INSTITUTIONAL,I100000116,,MEDIUM,EDUCATION,,,,REGISTERD,12415,18991230,15,,EDUCATIONAL,YES,1109483,,100000,3.194258,6.473421
119,3098,INSTITUTIONAL,I100000117,,MEDIUM,EDUCATION,,,,REGISTERD,12416,18991230,15,,EDUCATIONAL,YES,1109484,,100000,3.194778,6.473236
120,3099,INSTITUTIONAL,I100000118,,MEDIUM,EDUCATION,,,,REGISTERD,12417,18991230,15,,EDUCATIONAL,YES,1109485,,100000,3.194648,6.473001
121,3100,INSTITUTIONAL,I100000119,,MEDIUM,EDUCATION,,,,REGISTERD,12418,18991230,15,,EDUCATIONAL,YES,1109486,,100000,3.194585,6.472932
122,3101,INSTITUTIONAL,I100000120,,MEDIUM,EDUCATION,,,,REGISTERD,12419,18991230,15,,EDUCATIONAL,YES,1109487,,100000,3.194752,6.472923
123,3102,INSTITUTIONAL,I100000121,,MEDIUM,EDUCATION,,,,REGISTERD,12420,18991230,15,,EDUCATIONAL,YES,1109488,,100000,3.194879,6.472943
124,3103,INSTITUTIONAL,I100000122,,MEDIUM,EDUCATION,,,,REGISTERD,12421,18991230,15,,EDUCATIONAL,YES,1109489,,100000,3.194324,6.472819
125,3104,INSTITUTIONAL,I100000123,,MEDIUM,EDUCATION,,,,REGISTERD,12422,18991230,15,,EDUCATIONAL,YES,1109490,,100000,3.194132,6.473073
126,3105,INSTITUTIONAL,I100000124,,MEDIUM,EDUCATION,,,,REGISTERD,12423,18991230,15,,EDUCATIONAL,YES,1109491,,100000,3.194028,6.472983
127,3106,INSTITUTIONAL,I100000125,,MEDIUM,EDUCATION,,,,REGISTERD,12424,18991230,15,,EDUCATIONAL,YES,1109492,,100000,3.193476,6.472611
128,3107,INSTITUTIONAL,I100000126,,MEDIUM,EDUCATION,,,,REGISTERD,12425,18991230,15,,EDUCATIONAL,YES,1109493,,100000,3.194973,6.472708
129,3108,INSTITUTIONAL,I100000127,,MEDIUM,EDUCATION,,,,REGISTERD,12426,18991230,15,,EDUCATIONAL,YES,1109494,,100000,3.195006,6.472795
130,3109,INSTITUTIONAL,I100000128,,MEDIUM,EDUCATION,,,,REGISTERD,12427,18991230,15,,EDUCATIONAL,YES,1109495,,100000,3.195015,6.472625
131,3110,INSTITUTIONAL,I100000129,,MEDIUM,EDUCATION,,,,REGISTERD,12428,18991230,15,,EDUCATIONAL,YES,1109496,,100000,3.195014,6.473135
132,3111,INSTITUTIONAL,I100000130,,MEDIUM,EDUCATION,,,,REGISTERD,12429,18991230,15,,EDUCATIONAL,YES,1109497,,100000,3.195310,6.474431
133,3112,INSTITUTIONAL,I100000131,,MEDIUM,EDUCATION,,,,REGISTERD,12430,18991230,15,,EDUCATIONAL,YES,1109498,,100000,3.195466,6.474438
134,3113,INSTITUTIONAL,I100000132,,MEDIUM,EDUCATION,,,,REGISTERD,12431,18991230,15,,EDUCATIONAL,YES,1109499,,100000,3.195568,6.474522
135,3114,INSTITUTIONAL,I100000133,,MEDIUM,EDUCATION,,,,REGISTERD,12432,18991230,15,,EDUCATIONAL,YES,1109500,,100000,3.195694,6.474670
136,3115,INSTITUTIONAL,I100000134,,MEDIUM,EDUCATION,,,,REGISTERD,12433,18991230,15,,EDUCATIONAL,YES,1109501,,100000,3.195867,6.474488
137,3116,INSTITUTIONAL,I100000135,,MEDIUM,EDUCATION,,,,REGISTERD,12434,18991230,15,,EDUCATIONAL,YES,1109502,,100000,3.195808,6.474413
138,3117,INSTITUTIONAL,I100000136,,MEDIUM,EDUCATION,,,,REGISTERD,12435,18991230,15,,EDUCATIONAL,YES,1109503,,100000,3.196095,6.474693
139,3118,INSTITUTIONAL,I100000137,,MEDIUM,EDUCATION,,,,REGISTERD,12436,18991230,15,,EDUCATIONAL,YES,1109504,,100000,3.196079,6.474573
140,3119,INSTITUTIONAL,I100000138,,MEDIUM,EDUCATION,,,,REGISTERD,12437,18991230,15,,EDUCATIONAL,YES,1109505,,100000,3.195962,6.474562
141,3120,INSTITUTIONAL,I100000139,,MEDIUM,EDUCATION,,,,REGISTERD,12438,18991230,15,,EDUCATIONAL,YES,1109506,,100000,3.196009,6.474921
142,3121,INSTITUTIONAL,I100000140,,MEDIUM,EDUCATION,,,,REGISTERD,12439,18991230,15,,EDUCATIONAL,YES,1109507,,100000,3.195825,6.474881
143,3122,INSTITUTIONAL,I100000141,,MEDIUM,EDUCATION,,,,REGISTERD,12440,18991230,15,,EDUCATIONAL,YES,1109508,,100000,3.195880,6.474948
144,3123,INSTITUTIONAL,I100000142,,MEDIUM,EDUCATION,,,,REGISTERD,12441,18991230,15,,EDUCATIONAL,YES,1109509,,100000,3.195935,6.474853
145,3124,INSTITUTIONAL,I100000143,,MEDIUM,EDUCATION,,,,REGISTERD,12442,18991230,15,,EDUCATIONAL,YES,1109510,,100000,3.195537,6.474764
146,3125,INSTITUTIONAL,I100000144,,MEDIUM,EDUCATION,,,,REGISTERD,12443,18991230,15,,EDUCATIONAL,YES,1109511,,100000,3.195429,6.474921
147,3126,INSTITUTIONAL,I100000145,,MEDIUM,EDUCATION,,,,REGISTERD,12444,18991230,15,,EDUCATIONAL,YES,1109512,,100000,3.195099,6.474822
148,3127,INSTITUTIONAL,I100000146,,MEDIUM,EDUCATION,,,,REGISTERD,12445,18991230,15,,EDUCATIONAL,YES,1109513,,100000,3.194939,6.474819
149,3128,INSTITUTIONAL,I100000147,,MEDIUM,EDUCATION,,,,REGISTERD,12446,18991230,15,,EDUCATIONAL,YES,1109514,,100000,3.195023,6.475156
150,3129,INSTITUTIONAL,I100000148,,MEDIUM,EDUCATION,,,,REGISTERD,12447,18991230,15,,EDUCATIONAL,YES,1109515,,100000,3.195209,6.475146
151,3130,INSTITUTIONAL,I100000149,,MEDIUM,EDUCATION,,,,REGISTERD,12448,18991230,15,,EDUCATIONAL,YES,1109516,,100000,3.195170,6.475303
152,3131,INSTITUTIONAL,I100000150,,MEDIUM,EDUCATION,,,,REGISTERD,12449,18991230,15,,EDUCATIONAL,YES,1109517,,100000,3.195339,6.475307
153,3132,INSTITUTIONAL,I100000151,,MEDIUM,EDUCATION,,,,REGISTERD,12450,18991230,15,,EDUCATIONAL,YES,1109518,,100000,3.195408,6.475295
154,3133,INSTITUTIONAL,I100000152,,MEDIUM,EDUCATION,,,,REGISTERD,12451,18991230,15,,EDUCATIONAL,YES,1109519,,100000,3.195538,6.475095
155,3134,INSTITUTIONAL,I100000153,,MEDIUM,EDUCATION,,,,REGISTERD,12452,18991230,15,,EDUCATIONAL,YES,1109520,,100000,3.195663,6.475145
156,3135,INSTITUTIONAL,I100000154,,MEDIUM,EDUCATION,,,,REGISTERD,12453,18991230,15,,EDUCATIONAL,YES,1109521,,100000,3.195763,6.475057
157,3136,INSTITUTIONAL,I100000155,,MEDIUM,EDUCATION,,,,REGISTERD,12454,18991230,15,,EDUCATIONAL,YES,1109522,,100000,3.195813,6.475182
